gameId,gameDate,gameType,gameMap,hero,winner,talents
53193125,04/27/2024 11:29:04 pm,Storm League,Tomb of the Spider Queen,Tracer,True,"[""Tracer Rounds"",""Pulse Generator"",""Locked and Loaded"",""Pulse Rounds"",""Jumper"",""Ricochet"",""Get Stuffed!""]"
53159723,04/26/2024 11:00:44 am,Storm League,Tomb of the Spider Queen,Tracer,False,"[""One-Two Punch"",""Pulse Generator"",""Locked and Loaded"",""Quantum Spike"",""Jumper"",""Heavy Handed""]"
53141902,04/25/2024 1:04:27 pm,Storm League,Tomb of the Spider Queen,Tracer,True,"[""Tracer Rounds"",""Pulse Generator"",""Locked and Loaded"",""Sticky Bomb"",""Jumper"",""Ricochet"",""Get Stuffed!""]"
53112421,04/22/2024 10:18:28 pm,Storm League,Towers of Doom,Tracer,False,"[""One-Two Punch"",""Pulse Generator"",""Locked and Loaded"",""Pulse Rounds"",""Jumper"",""Ricochet""]"
53061855,04/19/2024 12:56:54 am,Storm League,Towers of Doom,Tracer,True,"[""Tracer Rounds"",""Pulse Generator"",""Locked and Loaded"",""Pulse Rounds"",""Jumper"",""Ricochet"",""Get Stuffed!""]"
53174279,04/26/2024 11:53:03 pm,Storm League,Cursed Hollow,Sgt. Hammer,False,"[""Advanced Artillery"",""Regenerative Bio-Steel"",""Hover Siege Mode"",""Blunt Force Gun"",""Hyper-Cooling Engines"",""Mechanical Know-how"",""Ultra Capacitors""]"
53098307,04/21/2024 10:43:57 pm,Storm League,Braxis Holdout,Sgt. Hammer,True,"[""Advanced Artillery"",""Regenerative Bio-Steel"",""Hover Siege Mode"",""Napalm Strike"",""Hyper-Cooling Engines"",""Mechanical Know-how""]"
53073134,04/20/2024 1:31:30 am,Storm League,Towers of Doom,Sgt. Hammer,False,"[""Advanced Artillery"",""Regenerative Bio-Steel"",""Graduating Range"",""Blunt Force Gun"",""Hyper-Cooling Engines"",""Mechanical Know-how""]"
53072832,04/20/2024 12:35:22 am,Storm League,Volskaya Foundry,Sgt. Hammer,True,"[""Advanced Artillery"",""Regenerative Bio-Steel"",""Hover Siege Mode"",""Napalm Strike"",""Hyper-Cooling Engines"",""Mechanical Know-how"",""Ultra Capacitors""]"
53061366,04/19/2024 12:18:44 am,Storm League,Alterac Pass,Sgt. Hammer,False,"[""Advanced Artillery"",""Regenerative Bio-Steel"",""Hover Siege Mode"",""Napalm Strike"",""Hyper-Cooling Engines"",""Mechanical Know-how"",""Ultra Capacitors""]"
53350354,05/09/2024 3:24:08 pm,Storm League,Alterac Pass,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds""]"
53332644,05/08/2024 12:12:13 am,Storm League,Sky Temple,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53332162,05/07/2024 11:46:28 pm,Storm League,Volskaya Foundry,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds""]"
53315518,05/06/2024 9:19:26 pm,Storm League,Sky Temple,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds""]"
53272642,05/03/2024 9:49:57 pm,Storm League,Sky Temple,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53212996,04/30/2024 12:09:26 am,Storm League,Cursed Hollow,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53193302,04/27/2024 11:54:56 pm,Storm League,Infernal Shrines,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53192575,04/27/2024 10:27:27 pm,Storm League,Dragon Shire,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53162397,04/26/2024 1:15:16 pm,Storm League,Alterac Pass,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53130305,04/24/2024 12:41:58 pm,Storm League,Alterac Pass,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi""]"
53115962,04/23/2024 12:54:36 pm,Storm League,Alterac Pass,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53113460,04/23/2024 12:45:03 am,Storm League,Garden of Terror,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53113263,04/23/2024 12:19:34 am,Storm League,Sky Temple,Samuro,False,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi""]"
53099342,04/22/2024 12:47:45 am,Storm League,Cursed Hollow,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53099249,04/22/2024 12:21:11 am,Storm League,Tomb of the Spider Queen,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53098810,04/21/2024 11:08:38 pm,Storm League,Cursed Hollow,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53097837,04/21/2024 10:21:48 pm,Storm League,Alterac Pass,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53073562,04/20/2024 2:54:29 am,Storm League,Infernal Shrines,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53073492,04/20/2024 2:32:03 am,Storm League,Cursed Hollow,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds"",""Wind Strider""]"
53072356,04/19/2024 11:12:02 pm,Storm League,Sky Temple,Samuro,True,"[""Way of the Wind"",""One with the Wind"",""Burning Blade"",""Bladestorm"",""Shukuchi"",""Harsh Winds""]"
53337577,05/08/2024 2:56:44 pm,Storm League,Infernal Shrines,Rehgar,True,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Pit Fighter""]"
53316872,05/06/2024 10:29:13 pm,Storm League,Battlefield of Eternity,Rehgar,False,"[""Colossal Totem"",""Electric Charge"",""Purification"",""Ancestral Healing"",""Earth Shield""]"
53272761,05/03/2024 10:13:39 pm,Storm League,Dragon Shire,Rehgar,False,"[""Colossal Totem"",""Earthliving Enchant"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Elemental Conduit""]"
53218458,04/30/2024 12:23:24 pm,Storm League,Battlefield of Eternity,Rehgar,False,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Farseer's Blessing""]"
53211821,04/29/2024 11:25:23 pm,Storm League,Tomb of the Spider Queen,Rehgar,True,"[""Stormcaller"",""Healing Totem"",""Blood and Thunder"",""Ancestral Healing"",""Tidal Waves"",""Hunger of the Wolf"",""Elemental Conduit""]"
53202329,04/28/2024 10:58:36 pm,Storm League,Alterac Pass,Rehgar,True,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Farseer's Blessing""]"
53174513,04/27/2024 12:15:06 am,Storm League,Alterac Pass,Rehgar,False,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Farseer's Blessing""]"
53172212,04/26/2024 10:56:29 pm,Storm League,Cursed Hollow,Rehgar,True,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem""]"
53171675,04/26/2024 10:36:33 pm,Storm League,Battlefield of Eternity,Rehgar,True,"[""Colossal Totem"",""Healing Totem"",""Grounded Totem"",""Ancestral Healing"",""Wellspring"",""Earthgrasp Totem"",""Pit Fighter""]"
